p,E[N],E[T]

0.01,0.05950671140939597,4.057068796578469
0.02,0.1222248322147651,4.118354415351373
0.03,0.18806711409395974,4.184015079340688
0.04,0.25278523489932886,4.246488653003981
0.05,0.31911073825503355,4.318532240333094
0.060000000000000005,0.3894429530201342,4.391959456745537
0.07,0.4570805369127517,4.449588873815142
0.08,0.5271812080536913,4.535549727715169
0.09,0.5968053691275168,4.590154270663489
0.09999999999999999,0.6661006711409396,4.661836028444747
0.10999999999999999,0.7444362416107383,4.752046886318238
0.11999999999999998,0.8147114093959732,4.818036440723349
0.12999999999999998,0.8878422818791947,4.888056942478686
0.13999999999999999,0.9694563758389262,4.993880307968447
0.15,1.0449295302013424,5.073635457919727
0.16,1.1230604026845639,5.155290551604799
0.17,1.2053087248322147,5.250426101538673
0.18000000000000002,1.2841912751677853,5.347810524515642
0.19000000000000003,1.354986577181208,5.408327047820184
0.20000000000000004,1.447506711409396,5.543793674689566
0.21000000000000005,1.5369630872483222,5.642158732791508
0.22000000000000006,1.6070570469798657,5.727848765678342
0.23000000000000007,1.6961006711409397,5.854270992553556
0.24000000000000007,1.7893859060402684,5.989982130286457
0.25000000000000006,1.8794161073825504,6.095316748740341
0.26000000000000006,1.9795637583892618,6.244307699180273
0.2700000000000001,2.076177852348993,6.391736205615673
0.2800000000000001,2.1707080536912753,6.537137695769286
0.2900000000000001,2.26598322147651,6.6613942191825055
0.3000000000000001,2.3821107382550335,6.862449772860056
0.3100000000000001,2.483251677852349,6.999835548988264
0.3200000000000001,2.6024093959731545,7.199589050208308
0.3300000000000001,2.723956375838926,7.38724319517167
0.34000000000000014,2.8560604026845637,7.646124302120029
0.35000000000000014,3.011986577181208,7.905902429802959
0.36000000000000015,3.2028959731543623,8.257603013246255
0.37000000000000016,3.3514261744966443,8.519954224946332
0.38000000000000017,3.5711375838926176,8.94483461310475
0.3900000000000002,3.8212550335570468,9.411886953912493
0.4000000000000002,4.0710973154362415,9.86334356174274
0.4100000000000002,4.419822147651007,10.546604492844452
0.4200000000000002,4.7882080536912754,11.272379085349797
0.4300000000000002,5.167664429530201,11.950460976209303
0.4400000000000002,5.883375838926175,13.467142376467521
0.45000000000000023,6.831959731543624,15.265724858082232
0.46000000000000024,7.908597315436242,17.39161414686352
0.47000000000000025,8.999026845637584,19.480634315600188
0.48000000000000026,15.365036912751679,32.274499616838334
0.49000000000000027,27.548161073825504,54.56609083530739
0.5000000000000002,299.775288590604,257.8599999328424
